ID,Category,Question,A,B,C,D,Answer
1,Nauka i Technika,Io jest satelitą,Jowisza,Saturna,Urana,Neptuna,Jowisza
2,Nauka i Technika,Symbol Wolfranu to..?,Wr,Wf,W,Wo,W
3,Nauka i Technika,W którym roku będzie widoczne z terenów Polski najbliższe całkowite zaćmienie słońca?,2021,2034,2075,2135,2075
4,Nauka i Technika,"Obszar,w którym ciśnienie wiatru słonecznego przewyższa ciśnienie materii międzygwiazdowej nazywamy""",Egzosferą,Heliosferą,Heliopauzą,Endosferą,Heliosferą
5,Nauka i Technika,"Działa na metabolizm i układ pokarmowy. Wystepuje m.in w jogurcie, befsztyku, kiełkach, wątrobie, pokarmach zbożowych. W chemii znany jaki Zn.",Żelazo,Cyna,Fosfor,Cynk,Cynk
6,Sport,Polski klub piłkarkski Odra jest z?,Kołobrzeg,Szczecin,Wodzisław Śląski,Płock,Wodzisław Śląski
7,Sport,Ile wygranych pucharów Europy ma na kocie Real Madryt?,10,11,9,13,13
8,Sport,Słynna drużyna koszykarska z Chicago?,Bulls,Pistons,Hawks,Knicks,Bulls
9,Sport,Ile medali igrzysk olimpijskich w Vancouver zdobył Adam Małysz?,3,2,4,1,2
10,Sport,W jakim japońskim siatkarskim klubie gra Michał Kubiak?,JTEKT Stings,Toray Arrows,Toyoda Gosei Trefuerza,Panasonic Panthers,Panasonic Panthers
11,Geografia,Jakie miasto jest stolicą Macedonii?,Skopje,Sarajewo,Belgrad,Sofia,Skopje
12,Geografia,Pustynia Lota znajduje się w ?,Azja,Ameryka Płd,Afryka,Ameryka Płn,Azja
13,Geografia,Które z tych miast NIE zostało nazwane na cześc jego założyciela?,Augustów,Wałbrzych,Władysławowo,Kraków,Wałbrzych
14,Geografia,Stolicami województwa kujawsko-pomoskiego jest?,"Gorzów, Szczecin","Lublin, Kołobrzeg","Toruń, Bydgoszcz","Zielona Góra, Gorzów","Toruń, Bydgoszcz"
15,Geografia,Najdłuższe molo drewniane znajduje się w...,Gdynia,Gdańsk,Kołobrzeg,Sopot,Sopot
16,Historia,Kto był pierwszym prezydentem Polski po II wojnie światowej?,Bolesław Bierut,Władysław Gomułka,Władyslaw Wojciechowski,Ignacy Mościcki,Bolesław Bierut
17,Historia,Jak nazywamy główna zasadę w kodeksie Hammurabiego?,prawo talionu,prawo Hammurabiego,nic,"oko za oko, ząb za ząb","oko za oko, ząb za ząb"
18,Historia,Jakie powstanie było w roku 1830 r.?,powstanie wielkopolskie,postanie styczniowe,powstanie warszawskie,powstanie listopadowe,powstanie listopadowe
19,Historia,W którym roku upadło Cesarstwo Wschodniorzymskie?,476,1534,1453,850,1453
20,Historia,W którym roku obalono mur berliński?,1999,1989,1987,1990,1989
21,Historia,W którym roku p.n.e. założono Rzym?,850,834,750,753,753
